Year,FCFF ($M),FCFE ($M),LFCF ($M),Average FCF ($M)
2015,,,74071.0,74071.0
2016,22516.589647411864,16527.0,59475.0,32839.52988247062
2017,81354.11359835634,104279.0,65149.0,83594.03786611879
2018,38772.882591207,40536.0,56118.0,45142.29419706899
2019,37489.26930764009,46161.0,45234.0,42961.423102546694
2020,50152.19245559422,36388.0,38260.0,41600.06415186474
2021,22448.699999999997,-263.0,32252.0,18145.899999999998
2022,35546.187518812076,21461.0,31378.0,29461.729172937357
2023,50671.652989586175,41926.0,24982.0,39193.21766319539
2024,81549.11359835634,60130.0,65149.0,68942.70453278544
